epoch,positional_disent,bag_of_symbol_disent,topographic_sim
165,0.18498177826404572,0.13922050595283508,0.46002547331674026
959,0.1493850201368332,0.10159599781036377,0.37055907182444847
425,0.06857911497354507,0.11944009363651276,0.36766148466051796
834,0.4595249593257904,0.26352396607398987,0.6288805551403301
143,0.20066851377487183,0.2515888810157776,0.4851131673195664
121,0.19240985810756683,0.19343668222427368,0.4269537266599737
1000,0.24050067365169525,0.13790686428546906,0.3738688101365955
340,0.14755390584468842,0.26669541001319885,0.46297162246510476
1000,0.13999849557876587,0.1292036771774292,0.35275376267528696
194,0.17254376411437988,0.07582402974367142,0.41542522176497765
196,0.32906481623649597,0.20566067099571228,0.6262154320324017
1000,0.07054627686738968,0.08532305806875229,0.27013279912405963
26,0.3005654513835907,0.3254528045654297,0.6534816887164901
21,0.5631738305091858,0.35019350051879883,0.7102829018921181
109,0.11778217554092407,0.20896682143211365,0.48210113450432585
1000,0.05337910354137421,0.1931934803724289,0.4525234726696036
1000,0.2578618824481964,0.16859528422355652,0.3819780507739744
1000,0.3428680896759033,0.37151792645454407,0.5555399183557075
474,0.24149012565612793,0.34719327092170715,0.4022118217585953
1000,0.21996666491031647,0.24700702726840973,0.4610343128611633
1000,0.22113341093063354,0.17899781465530396,0.48216340283084785
1000,0.07162304222583771,0.28071415424346924,0.5551839310937235
1000,0.2233382612466812,0.23822732269763947,0.38086243876538706
1000,0.15427055954933167,0.2190060317516327,0.48205338273222825
255,0.3338003158569336,0.31999897956848145,0.5653560805272234
56,0.21870894730091095,0.15831820666790009,0.47495515737910965
338,0.13779473304748535,0.11608491092920303,0.5254856511028255
19,0.1533808708190918,0.08793249726295471,0.4370197867886587
48,0.13587088882923126,0.15835565328598022,0.427867069000662
1000,0.2484448105096817,0.2023673802614212,0.39733439718760233
1000,0.14500267803668976,0.2675941586494446,0.37099398039137255
1000,0.1485515981912613,0.09558404237031937,0.29574619287829196
426,0.05639512464404106,0.39228200912475586,0.5131656307260618
94,0.1431170254945755,0.24081309139728546,0.4813776214671015
151,0.19849270582199097,0.10541146248579025,0.43314573511730353
1000,0.1508445292711258,0.2081604301929474,0.49732736776430064
327,0.46305832266807556,0.27333375811576843,0.6591164043129517
20,0.39010223746299744,0.2974678874015808,0.6348173413935253
19,0.19574539363384247,0.15348169207572937,0.4983918766193697
1000,0.08953720331192017,0.20558524131774902,0.5233839281767731
36,0.07386095076799393,0.1105910912156105,0.39398258061490204
20,0.19131304323673248,0.21805046498775482,0.561276485653568
41,0.13995374739170074,0.10855507850646973,0.34808951670870825
1000,0.27819564938545227,0.29284533858299255,0.5675846187361736
1000,0.1576695740222931,0.13613632321357727,0.37174559194971785
1000,0.060043543577194214,0.11987597495317459,0.26554294506352805
21,0.1221718117594719,0.1409667730331421,0.37539382068606236
27,0.6847981810569763,0.5633090734481812,0.7636314478524758
1000,0.1544344574213028,0.2611900269985199,0.4740097806006737
1000,0.11510329693555832,0.09792763739824295,0.2902411437615075
